latitude,longitude,mag,magType
26.8023,126.6501,4.9,1
22.2112,101.7346,4.4,1
24.471,122.0772,4.2,1
27.4304,129.7914,4.2,1
31.1606,130.3699,4.5,1
24.3442,122.7729,4.3,1
24.1904,102.8675,4.9,1
31.7125,103.2155,4.8,1
25.4467,94.4235,5.1,2
24.0126,126.3499,4.6,1
23.6335,120.6657,4.5,1
38.5665,97.2553,5.0,1
25.094,96.2561,4.6,1
25.22,94.1077,4.5,1
34.4893,85.8489,4.3,1
25.9629,128.6829,4.7,1
34.1788,79.2141,5.0,2
28.1516,104.8509,4.5,1
28.9012,86.4476,4.5,1
27.3134,129.5668,4.6,1
24.0953,121.7461,4.8,2
33.0736,76.1758,4.8,1
30.4182,94.8392,4.7,1
26.6719,129.5944,4.6,1
24.8414,122.4545,4.2,1
31.7278,83.1271,4.3,1
26.4534,130.0922,4.7,2
26.8743,126.536,4.7,1
23.2476,120.923,4.6,3
22.6028,121.2801,3.9,1
25.7111,96.8176,4.4,1
24.6526,122.1133,4.4,1
29.3331,129.4402,4.9,1
34.6729,80.1671,4.7,1
29.2822,87.124,4.3,1
34.6134,73.1273,4.5,1
24.4538,123.2569,4.3,1
39.9512,75.9881,4.4,3
30.3464,94.7981,4.5,1
46.1969,93.8504,4.2,1
36.696,94.1354,4.6,1
21.7038,120.9994,5.3,2
22.8251,123.5562,4.6,1
25.7687,99.9762,4.3,1
51.7646,105.3088,4.9,1
41.1794,73.0397,4.6,1
25.8527,125.7883,4.9,1
52.9458,87.9938,4.3,1
39.7466,74.4656,5.0,2
21.3045,98.5126,4.3,1
30.3683,94.8628,4.9,1
23.7861,121.4802,4.6,1
33.5251,121.1837,5.0,2
22.0955,120.1302,4.2,1
39.2272,72.9847,4.5,1
26.7298,129.5792,4.5,1
38.1539,73.1967,4.5,1
27.1823,96.9851,4.9,2
25.2304,95.0332,4.5,1
28.2948,104.9774,4.2,1
24.9923,123.4626,4.8,2
20.0829,73.1729,4.3,1
25.6398,100.1814,4.1,1
26.7818,126.4019,4.5,1
24.817,122.5883,4.4,3
23.9143,121.651,4.7,1
21.0488,121.9111,4.4,1
23.9767,125.4108,4.3,1
32.7336,132.0394,4.4,1
33.2047,130.4797,3.7,1
34.6927,97.8048,5.0,2
23.0772,121.3158,4.9,1
23.8852,121.6433,4.4,1
30.6159,131.023,5.1,2
24.866,122.5846,4.4,1
27.9817,129.9807,4.5,1
28.0919,127.4319,4.3,1
43.8911,81.95,4.7,1
51.2913,100.2227,4.4,1
18.2322,120.7818,4.8,1
29.6695,132.388,4.8,1
43.9835,84.1571,4.4,1
28.3995,104.9852,4.7,2
19.8711,121.2697,4.4,1
42.586,83.0543,4.6,1
43.6423,83.9117,4.2,1
38.6126,90.8817,4.3,1
25.8623,128.4781,4.5,1
26.782,126.4232,4.2,1
26.8861,126.3894,4.9,1
24.1092,125.3777,4.4,1
37.5062,78.0899,4.0,1
25.9376,128.512,4.2,1
38.1769,73.5897,4.3,1
28.1266,104.9834,5.0,1
37.8592,101.151,4.2,1
24.8388,95.3185,4.6,1
30.5305,131.1118,4.5,1
23.9286,122.3375,4.4,1
34.4608,99.104,4.7,1
23.0566,121.429,4.4,1
30.3605,94.7737,4.8,1
18.3529,96.0939,4.7,1
23.2203,121.4715,4.5,1
23.6656,120.7461,4.0,1
30.8511,117.2945,3.3,4
26.7302,129.6429,5.7,2
38.8562,125.6782,3.6,4
38.4606,73.9574,4.5,1
30.4816,87.4907,4.2,1
26.0998,95.5832,4.6,1
20.5275,96.0814,4.6,1
30.3857,131.1241,4.8,1
43.6604,89.1831,4.4,1
17.6115,120.7362,4.3,1
39.8705,77.4623,4.9,2
39.7669,73.0306,4.3,1
34.5444,98.8106,4.7,1
23.5366,123.7427,5.0,2
26.7578,126.4734,5.1,2
32.9792,85.6089,4.1,1
18.6265,123.5674,4.4,1
25.931,128.5219,4.5,1
30.3896,102.8724,5.3,1
18.2522,95.9845,4.3,1
31.8537,131.068,4.3,1
25.9291,128.8721,4.7,1
26.7118,126.4556,4.5,1
24.3515,127.3092,4.7,1
34.4629,82.5664,4.7,1
28.0596,105.0676,4.4,1
23.9346,122.2551,4.6,1
23.8902,121.6714,4.3,1
28.0956,103.5659,4.4,1
30.7564,104.536,4.8,2
23.9182,121.599,4.8,2
51.5969,100.2745,4.9,1
35.7538,80.0339,4.3,1
39.7076,82.7995,4.3,1
33.0651,126.0046,4.6,1
26.9186,126.4294,4.7,1
28.4217,87.173,4.6,1
24.1249,95.8673,4.5,1
40.0491,77.1705,4.2,1
33.1193,75.8744,4.7,1
24.9086,123.3038,4.2,1
23.9905,94.8835,4.3,1
26.0547,90.8859,4.4,1
22.2089,94.3877,5.1,1
51.3627,100.1567,4.5,1
19.7376,121.3017,4.6,1
24.2458,93.913,4.2,1
33.0004,92.8321,4.2,1
22.5949,94.7171,4.5,1
25.4342,124.3328,4.7,3
24.7595,122.2323,4.6,1
30.3943,87.5273,4.2,1
30.3349,94.7625,4.7,1
47.2716,85.0803,4.1,1
30.7594,78.396,4.0,1
27.0774,88.9007,3.8,1
23.2476,121.4154,4.1,3
26.2955,129.2868,4.7,1
26.6833,126.4206,4.5,1
40.8353,78.8624,5.3,2
41.6563,81.5116,4.3,1
38.3353,74.0881,4.4,1
22.3124,94.7676,5.5,2
51.2722,100.3496,4.4,1
39.0501,74.5846,4.5,1
37.5834,98.1136,4.0,1
44.5864,79.6834,4.7,1
22.9479,121.7098,4.6,1
30.3898,131.0138,4.6,1
44.5839,101.2888,4.2,1
28.7353,96.4223,4.7,1
38.1733,73.7283,4.1,1
21.9349,94.4682,4.6,1
29.2393,130.4295,4.4,1
29.2845,129.501,5.1,1
32.6908,132.3375,4.8,2
28.0614,128.0841,4.5,1
38.1734,72.9929,4.2,1
20.6982,93.4157,4.7,1
26.2709,128.9062,4.7,2
24.9283,123.3575,5.2,2
29.9325,105.0694,4.6,1
24.8037,122.0331,4.6,1
22.5153,121.1025,4.3,1
25.9036,126.9938,4.1,1
23.7523,121.5522,4.3,3
23.798,122.5108,4.6,3
24.8812,123.3317,4.1,1
20.7666,103.3453,4.4,1
23.0905,93.6727,4.6,1
19.0944,121.3414,4.2,1
23.0317,94.2086,4.2,1
27.2099,104.6865,4.6,1
29.652,104.8433,4.4,1
24.8618,122.6102,4.4,3
51.2811,100.4383,6.7,2
23.2726,121.5567,4.1,1
27.8305,82.8074,4.4,1
34.6873,77.9908,3.7,1
